1.A.1	the voltage-gated ion channel (vic) superfamily.
1.A.10	the glutamate-gated ion channel (gic) family of neurotransmitter receptors.
1.A.11	the ammonia transporter channel (amt) family.
1.A.12	the intracellular chloride channel (clic) family.
1.A.13	the epithelial chloride channel (e-clc) family.
1.A.14	the testis-enhanced gene transfer (tegt) family.
1.A.15	the non-selective cation channel-2 (nscc2) family.
1.A.16	the formate-nitrite transporter (fnt) family.
1.A.17	the calcium-dependent chloride channel (ca-clc) family.
1.A.18	the chloroplast envelope anion channel-forming tic110 (tic110) family.
1.A.19	the type a influenza virus matrix-2 channel (m2-c) family.
1.A.2	inward rectifier k(+) channel (irk-c) family.
1.A.20	the bcl2/adenovirus e1b-interacting protein 3 (bnip3) family.
1.A.21	the bcl-2 (bcl-2) family.
1.A.22	the large conductance mechanosensitive ion channel (mscl) family.
1.A.23	the small conductance mechanosensitive ion channel (mscs) family.
1.A.24	the gap junction-forming connexin (connexin) family.
1.A.25	the gap junction-forming innexin (innexin) family.
1.A.26	the mg(2+) transporter-e (mgte) family.
1.A.27	the phospholemman (plm) family.
1.A.28	the urea transporter (ut) family.
1.A.29	the urea/amide channel (uac) family.
1.A.3	the ryanodine-inositol 1,4,5-triphosphate receptor ca(2+) channel (rir-cac) family.
1.A.30	the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.
1.A.31	the annexin (annexin) family.
1.A.32	the type b influenza virus nb channel (nb-c) family.
1.A.33	the cation channel-forming heat shock protein-70 (hsp70) family.
1.A.34	the bacillus gap junction-like channel-forming complex (gj-cc) family.
1.A.35	the cora metal ion transporter (mit) family.
1.A.36	the intracellular chloride channel (icc) family.
1.A.37	the cd20 ca(2+) channel (cd20) family.
1.A.38	the golgi ph regulator (gphr) family.
1.A.39	the type c influenza virus cm2 channel (cm2-c) family.
1.A.4	the transient receptor potential ca(2+) channel (trp-cc) family.
1.A.40	the human immunodeficiency virus type i, hiv-1 (retrovirdiac) vpu channel (vpu-c) family.
1.A.41	the avian reovirus p10 viroporin (p10) family.
1.A.42	the hiv viral protein r (vpr) family.
1.A.43	the camphor resistance (crcb) family.
1.A.44	the pore-forming tail tip pb2 protein of phage t5 (t5-pb2) family.
1.A.45	the phage p22 injectisome (p22 injectisome) family.
1.A.46	the anion channel-forming bestrophin (bestrophin) family.
1.A.47	the nucleotide-sensitive anion-selective channel, icln (icln) family.
1.A.48	the anion channel tweety (tweety) family.
1.A.5	the polycystin cation channel (pcc) family.
1.A.50	the phospholamban (ca(2+)-channel and ca(2+)-atpase regulator) (plb) family.
1.A.51	the voltage-gated proton channel (vpc) family.
1.A.52	the ca(2+) release-activated ca(2+) (crac) channel (crac-c) family.
1.A.53	the hepatitis c virus p7 viroporin cation-selective channel (hcv-p7) family.
1.A.54	the presenilin er ca(2+) leak channel (presenilin) family.
1.A.55	the synaptic vesicle-associated ca(2+) channel, flower (flower) family.
1.A.56	the copper transporter (ctr) family.
1.A.57	the human sars caronavirus viroporin (sars-vp).
1.A.58	the type b influenza virus matrix protein 2 (bm2-c) family.
1.A.59	the bursal disease virus pore-forming peptide, pep46 (pep46) family.
1.A.6	the epithelial na(+) channel (enac) family.
1.A.60	the mammalian reovirus pre-forming peptide, mu-1 (mu-1) family.
1.A.61	the insect nodavirus channel-forming chain f (gamma-peptide) family.
1.A.62	the homotrimeric cation channel (tric) family.
1.A.63	the ignicoccus outer membrane -helical porin family.
1.A.64	the plasmolipin (plasmolipin) family.
1.A.65	the coronavirus viroporin e protein (viroporin e) family.
1.A.66	the pardaxin (pardaxin) family.
1.A.67	the membrane mg(2+) transporter (mmgt) family.
1.A.68	the viral small hydrophobic protein (v-shp) family.
1.A.69	the heteromeric odorant receptor channel (horc) family.
1.A.7	the atp-gated p2x receptor cation channel (p2x receptor) family.
1.A.70	the molecule against microbes a (mama) family.
1.A.71	the brain acid-soluble protein channel (basp1 channel) family.
1.A.72	the mer superfamily.
1.A.73	the colicin lysis protein (clp) family.
1.A.74	the mitsugumin 23 (mg23) family.
1.A.75	the mechanical nociceptor, piezo (piezo) family.
1.A.77	the mg(2+)/ca(2+) uniporter (mcu) family.
1.A.79	the cholesterol uptake protein (chup) or double stranded rna uptake family.
1.A.8	the major intrinsic protein (mip) family.
1.A.80	the ns4a viroporin (ns4a) family.
1.A.81	the low affinity ca(2+) channel (lacc) family.
1.A.82	the hair cell mechanotransduction channel (hcmc) family.
1.A.83	the sv40 virus viroporin vp2 (sv40 vp2) family.
1.A.84	the calcium homeostasis modulator ca(2+) channel (calhm-c) family.
1.A.85	the poliovirus 2b viroporin (2b viroporin) family.
1.A.86	the human papilloma virus type 16 (hpv16) l2 viroporin (l2 viroporin) family.
1.A.87	the mechanosensitive calcium channel (mca) family.
1.A.88	the fungal potassium channel (f-kch) family.
1.A.89	the human coronavirus 229e viroporin (229e viroporin) family.
1.A.9	the neurotransmitter receptor, cys loop, ligand-gated ion channel (lic) family.
1.A.90	the human metapneumovirus (hmpv) viroporin (hmpv-viroporin) family.
1.B.1	the general bacterial porin (gbp) family.
1.B.10	the nucleoside-specific channel-forming outer membrane porin (tsx) family.
1.B.11	the outer membrane fimbrial usher porin (fup) family.
1.B.12	the autotransporter-1 (at-1) family.
1.B.13	the alginate export porin (aep) family.
1.B.14	the outer membrane receptor (omr) family.
1.B.15	the raffinose porin (rafy) family.
1.B.16	the short chain amide and urea porin (sap) family.
1.B.17	the outer membrane factor (omf) family.
1.B.18	the outer membrane auxiliary (oma) protein family.
1.B.19	the glucose-selective oprb porin (oprb) family.
1.B.2	the chlamydial porin (cp) family.
1.B.20	the two-partner secretion (tps) family.
1.B.21	the ompg porin (ompg) family.
1.B.22	the outer bacterial membrane secretin (secretin) family.
1.B.23	the cyanobacterial porin (cbp) family.
1.B.24	the mycobacterial porin (mbp) family.
1.B.25	the outer membrane porin (opr) family.
1.B.26	the cyclodextrin porin (cdp) family.
1.B.27	the helicobacter outer membrane porin (hop) family.
1.B.28	the plastid outer envelope porin of 24 kda (oep24) family.
1.B.29	the plastid outer envelope porin of 21 kda (oep21) family.
1.B.3	the sugar porin (sp) family.
1.B.30	the plastid outer envelope porin of 16 kda (oep16) family.
1.B.31	the campylobacter jejuni major outer membrane porin (momp) family.
1.B.32	the fusobacterial outer membrane porin (fomp) family.
1.B.33	the outer membrane protein insertion porin (bam complex) (ompip) family.
1.B.34	the corynebacterial porin a (pora) family.
1.B.35	the oligogalacturonate-specific porin (kdgm) family.
1.B.36	the borrelia porin p13 (bp-p13) family.
1.B.37	the leptospira porin ompl1 (lp-ompl1) family.
1.B.38	the treponema porin major surface protein (tp-msp) family.
1.B.39	the bacterial porin, ompw (ompw) family.
1.B.4	the brucella-rhizobium porin (brp) family.
1.B.40	the autotransporter-2 (at-2) family.
1.B.41	the corynebacterial porin b (porb) family.
1.B.42	the outer membrane lipopolysaccharide export porin (lps-ep) family.
1.B.43	the coxiella porin p1 (cpp1) family.
1.B.44	the probable protein translocating porphyromonas gingivalis porin (port) family.
1.B.45	the treponema porin (t-por) family.
1.B.46	the outer membrane lolab lipoprotein insertion apparatus (lolab) family.
1.B.47	the plastid outer envelope porin of 37 kda (oep37) family.
1.B.48	the curli fiber subunit, csga, porin, csgg (gsgg) family.
1.B.49	the anaplasma p44 (a-p44) porin family.
1.B.5	the pseudomonas oprp porin (pop) family.
1.B.50	the acid-fast bacterial, outer membrane porin (afb-omp) family.
1.B.51	the oms66 porin (oms66p) family.
1.B.52	the oms28 porin (oms28p) family.
1.B.53	the filamentous phage g3p channel-forming protein (fp-g3p) family.
1.B.54	the intimin/invasin (int/inv) or autotransporter-3 (at-3) family.
1.B.55	the poly acetyl glucosamine porin (pgaa) family.
1.B.56	the spirochaete outer membrane porin (s-omp) family.
1.B.57	the legionella major-outer membrane protein (lm-omp) family.
1.B.58	nocardial hetero-oligomeric cell wall channel (nfpa/b) family.
1.B.59	the outer membrane porin, porh (porh) family.
1.B.6	the ompa-ompf porin (oop) family.
1.B.60	the omp50 porin (omp50 porin) family.
1.B.61	the delta-proteobacterial porin (delta-porin) family.
1.B.62	the putative bacterial porin (pbp) family.
1.B.63	the imipenum resistance-associated porin, caro (caro) family.
1.B.64	the brucella omp2 porin (b-omp2) family.
1.B.65	the outer membrane porin opca (opca) family.
1.B.66	the putative beta-barrel porin-2 (bbp2) family.
1.B.67	the putative beta barrel porin-4 (bbp4) family.
1.B.68	the putative beta barrel porin-5 (bbp5) superfamily.
1.B.69	the peroxysomal membrane porin 4 (pxmp4) family.
1.B.7	the rhodobacter porca porin (rpp) family.
1.B.70	the outer membrane channel (omc) family.
1.B.71	the proteobacterial/verrucomicrobial porin (pvp) family.
1.B.72	the protochlamydial outer membrane porin (poms/t) family.
1.B.73	the capsule biogenesis/assembly (cba) family.
1.B.8	the mitochondrial and plastid porin (mpp) family.
1.B.9	the fadl outer membrane protein (fadl) family.
1.C.1	the channel-forming colicin (colicin) family.
1.C.10	the pore-forming haemolysin e (hlye) family.
1.C.100	the thermostable direct hemolysin (tdh) family.
1.C.101	the hiv-1 tat peptide translocator (hiv-tat1) family.
1.C.102	the cerein (cerein) family.
1.C.103	the pore-forming toxin, tisb (tisb) family.
1.C.104	the heterokaryon incompatibility prion/amyloid protein (het-s) family.
1.C.105	the bacillus thuringiensis vegetative insecticidal protein-3 (vip3) family.
1.C.106	the bacillus thuringiensis vegetative insecticidal protein-2 (vip2) family.
1.C.107	import subunit a of the insecticidal toxin complex (itc-a) family.
1.C.108	the pore-forming dermcidin (dermcidin) family.
1.C.109	the bacterial hemolysin a (b-hemolysin a) family.
1.C.11	the pore-forming rtx toxin (rtx-toxin) family.
1.C.110	the pore-forming pnc-27 peptide of 32 aas from the p53 tumor suppressor protein (pnc-27) family.
1.C.111	the regiii (regiii) family.
1.C.112	the cubozoan protein toxin (cpt) family.
1.C.12	thiol-activated cholesterol-dependent cytolysin (cdc) family.
1.C.13	the channel-forming leukocidin cytotoxin (ctx) family.
1.C.14	the cytohemolysin (chl) family.
1.C.15	the whipworm stichosome porin (wsp) family.
1.C.16	the magainin (magainin) family.
1.C.17	the cecropin (cecropin) family.
1.C.18	the melittin (melittin) family.
1.C.19	the defensin (defensin) family.
1.C.2	the channel-forming -endotoxin insecticidal crystal protein (icp) family.
1.C.20	the nisin (nisin) family.
1.C.21	the lacticin 481 (lacticin 481) family.
1.C.22	the lactococcin a (lactococcin a) family.
1.C.23	the lactocin s (lactocin s) family.
1.C.24	the pediocin (pediocin) family.
1.C.25	the lactococcin g (lactococcin g) family.
1.C.26	the lactacin x (lactacin x) family.
1.C.27	the divergicin a (divergicin a) family.
1.C.28	the bacteriocin as-48 cyclic polypeptide (bacteriocin as-48) family.
1.C.29	the plantaricin ef (plantaricin ef) family.
1.C.3	the -hemolysin channel-forming toxin (hl) family.
1.C.30	the plantaricin jk (plantaricin jk) family.
1.C.31	the channel-forming colicin v (colicin v) family.
1.C.32	the amphipathic peptide mastoparan (mastoparan) family.
1.C.33	the cathelicidin (cathelicidin) family.
1.C.34	the tachyplesin (tachyplesin) family.
1.C.35	the amoebapore (amoebapore) family.
1.C.36	the bacterial type iii-target cell pore (iiitcp) family.
1.C.37	the lactococcin 972 (lactococcin 972) family.
1.C.38	the pore-forming equinatoxin (equinatoxin) family.
1.C.39	the membrane attack complex/perforin (macpf) family.
1.C.4	the aerolysin channel-forming toxin (aerolysin) family.
1.C.40	the bactericidal permeability increasing protein (bpip) family.
1.C.41	the tripartite haemolysin bl (hbl) family.
1.C.42	the channel-forming bacillus anthracis protective antigen (bapa) family.
1.C.43	the earthworm lysenin toxin (lysenin) family.
1.C.44	the plant thionine (pt) family.
1.C.45	the plant defensin (plant defensin) family.
1.C.46	the c-type natriuretic peptide (cnp) family.
1.C.47	the insect/fungal defensin (insect/fungal defensin) family.
1.C.48	the prion peptide fragment (prp-f) family.
1.C.49	the cytotoxic amylin (amylin) family.
1.C.5	the channel-forming -toxin (-toxin) family.
1.C.50	the amyloid -protein peptide (app) family.
1.C.51	the pilosulin (pilosulin) family.
1.C.52	the dermaseptin (dermaseptin) family.
1.C.53	the lactocyclicin q (lactocyclicin q) family.
1.C.54	the shiga toxin b-chain (st-b) family.
1.C.55	the agrobacterial vire2 target host cell membrane anion channel (vire2) family.
1.C.56	the pseudomanas syringae hrpz target host cell membrane cation channel (hrpz) family.
1.C.57	the clostridial cytotoxin (cct) family.
1.C.58	the microcin e492/c24 (microcin e492) family.
1.C.59	the clostridium perfringens enterotoxin (cpe) family.
1.C.6	the yeast killer toxin k1 (ykt-k1) family.
1.C.60	the two-component enterococcus faecalis cytolysin (efc) family.
1.C.61	the streptococcus pyogenes streptolysin s (streptolysin s) family.
1.C.62	the pseudopleuronectes americanus (flounder) pleurocidin (pleurocidin) family.
1.C.63	the -latrotoxin (latrotoxin) family.
1.C.64	the fst toxin (fst) family.
1.C.65	the type iii secretion system plant host cell membrane pore-forming hrpf (hrpf) family.
1.C.66	the puroindoline (puroindoline) family.
1.C.67	the sphh hemolysin (sphh) family.
1.C.68	the channel-forming oxyopinin peptide (oxyopinin) family.
1.C.69	the clostridium perfringens beta-2 toxin (beta-2) family.
1.C.7	the diphtheria toxin (dt) family.
1.C.70	the streptococcal pore-forming camp factor (camp-f) family.
1.C.71	the cytolytic delta endotoxin (cyt1/2) family.
1.C.72	the pertussis toxin (ptx) family.
1.C.73	the pseudomonas exotoxin a (p-exoa) family.
1.C.74	the snake cytotoxin (sct) family.
1.C.75	the serratia-type pore-forming toxin (s-pft) family.
1.C.76	the pore-forming maculatin peptide (maculatin) family.
1.C.77	the synuclein (synuclein) family.
1.C.78	the crystal protein (cry) family.
1.C.79	the channel-forming histatin antimicrobial peptide (histatin) family.
1.C.8	the botulinum and tetanus toxin (btt) family.
1.C.80	the cytotoxic major fimbrial subunit (mrxa) family.
1.C.81	the arenicin (arenicin) family.
1.C.82	the pore-forming amphipathic helical peptide hp(2-20) (hp2-20) family.
1.C.83	the gassericin (gassericin) family.
1.C.84	the subtilosin (subtilosin) family.
1.C.85	the pore-forming -defensin (-defensin) family.
1.C.86	the pore-forming trialysin (trialysin) family.
1.C.87	the channel-forming vibrio type iii secretion effector, vopq (vopq) family.
1.C.88	the chrysophsin (chrysophsin) family.
1.C.89	the dynorphin channel-forming neuropeptide (dynorphin) family.
1.C.9	the vacuolating cytotoxin (vaca) family.
1.C.90	the carnocyclin a (carnocyclin) family.
1.C.91	the stefin b pore-forming protein (stefin b) family.
1.C.92	the pentraxin (pentraxin) family.
1.C.93	the lacticin q (lacticin q) family.
1.C.94	the thuricin s (thuricin s) family.
1.C.95	the pore-forming esat-6 protein (esat-6) family.
1.C.96	the haemolytic lectin, cel-iii (cel-iii) family.
1.C.97	the pleurotolysin pore-forming (pleurotolysin) family.
1.C.98	the cytolethal distending toxin (cdt) family.
1.C.99	the pore-forming corona viral orf8a (orf8a) family.
1.E.1	the p21 holin s (p21 holin) family.
1.E.10	the bacillus subtilis 29 holin (29 holin) family.
1.E.11	the 11 holin (11 holin) family.
1.E.12	the adh holin (adh holin) family.
1.E.13	the firmicute phage u53 holin (u53 holin) family.
1.E.14	the lrga holin (lrga holin) family.
1.E.15	the arpq holin (arpq holin) family.
1.E.16	the cph1 holin (cph1 holin) family.
1.E.17	the blya holin (blya holin) family.
1.E.18	the lactococcus lactis phage r1t holin (r1t holin) family.
1.E.19	the clostridium difficile tcde holin (tcde holin) family.
1.E.2	the holin s (holin) family.
1.E.20	the pseudomonas aeruginosa hol holin (hol holin) family.
1.E.21	the listeria phage a118 holin (hol118) family.
1.E.22	the neisserial phage-associated holin (np-holin) family.
1.E.23	the bacillus spore morphogenesis and germination holin (bsh) family.
1.E.24	the bacterophase dp-1 holin (dp-1 holin) family.
1.E.25	the pseudomonas phage f116 holin (f116 holin) family.
1.E.26	the holin llh (holin llh) family.
1.E.27	the blha holin (blha holin) family.
1.E.28	the streptomyces aureofaciens phage mu1/6 holin (mu1/6 holin) family.
1.E.29	the holin hol44 (hol44) family.
1.E.3	the p2 holin (p2 holin) family.
1.E.30	the vibrio holin (vibrio holin) family.
1.E.31	the spp1 holin (spp1 holin) family.
1.E.32	actinobacterial 1 tms holin (a-1 holin) family.
1.E.33	the 2 or 3 tms putative holin (2/3 holin) family.
1.E.34	the putative actinobacterial holin-x (hol-x) family.
1.E.35	the mycobacterial 1 tms phage holin (m1 hol) family.
1.E.36	the mycobacterial 2 tms phage holin (m2 hol) family.
1.E.37	the phage t1 holin (t1 holin) family.
1.E.38	the staphylococcus phage p68 putative holin (p68 hol) family.
1.E.39	mycobacterial phage pbi1 gp36 holin (gp36 hol) family.
1.E.4	the lyda holin (lyda holin) family.
1.E.40	the mycobacterial 4 tms phage holin (mp4 holin) family.
1.E.41	the deinococcus/thermus holin (d/t-hol) family.
1.E.42	the putative holin-like toxin (hol-tox) family.
1.E.43	putative transglycosylase-associated holin (t-a hol) family.
1.E.44	the putative lactococcus lactis holin (llhol) family.
1.E.45	the xanthomonas phage holin (xanphol) family.
1.E.46	the prophage hp1 holin (hp1hol) family.
1.E.47	the caulobacter phage holin (cauhol) family.
1.E.48	the enterobacterial holin (ebhol) family.
1.E.49	the putative treponema 4 tms holin (tre4hol) family.
1.E.5	the prd1 phage p35 holin (p35 holin) family.
1.E.50	the beta-proteobacterial holin (bp-hol) family.
1.E.51	the putative listeria phage holin (lp-hol) family.
1.E.52	the flp/fap pilin putative holin (ffpp-hol) family.
1.E.53	the toxic hok/gef protein (hok/gef) family.
1.E.54	the gene transfer agent-release holin (gta-hol) family.
1.E.55	the brachyspira holin (b-hol) family.
1.E.56	the putative 3 tms holin (3-hol) family.
1.E.57	the actinobacterial phage holin (aph) family.
1.E.58	the erwinia phage phi-ea1h holin (eppe-hol) family.
1.E.6	the t7 holin (t7 holin) family.
1.E.7	the hp1 holin (hp1 holin) family.
1.E.8	the t4 holin (t4 holin) family.
1.E.9	the t4 immunity (t4 imm) family.
1.F.1	the synaptosomal vesicle fusion pore (svf-pore) family.
1.G.1	the viral pore-forming membrane fusion protein-1 (vmfp1) family.
1.G.10	the herpes simplex virus membrane fusion complex (hsv-mfc) family.
1.G.11	poxvirus cell entry protein complex (pep-c) family.
1.G.12	the avian leukosis virus gp95 fusion protein (alv-gp95) family.
1.G.13	the orthoreovirus fusion-associated small transmembrane (fast) family.
1.G.14	the influenza virus hemagglutinin/fusion pore-forming protein (influenza-h/fpp) family.
1.G.15	the autographa californica nuclear polyhedrosis virus major envelope glycoprotein gp64 (gp64) family.
1.G.16	the human immunodeficiency virus type 1 (hiv-1) fusion peptide (hiv-fp) family.
1.G.17	the bovine leukemia virus envelop glycoprotein (blv-env) family.
1.G.18	the sars-cov fusion peptide in the spike glycoprotein precursor (sars-fp) family.
1.G.2	the viral pore-forming membrane fusion protein-2 (vmfp2) family.
1.G.3	the viral pore-forming membrane fusion protein-3 (vmfp3) family.
1.G.4	the viral pore-forming membrane fusion protein-4 (vmfp4) family.
1.G.5	the viral pore-forming membrane fusion protein-5 (vmfp5) family.
1.G.6	the hepadnaviral s fusion protein (hbv-s protein) family.
1.G.7	the reovirus fast fusion protein (r-fast) famly.
1.G.8	the arenavirus fusion protein (av-fp) family.
1.G.9	the syncytin (syncytin) family.
1.H.1	the claudin tight junction (claudin) family.
1.H.2	the invertebrate pmp22-claudin (claudin2) family.
1.I.1	the nuclear pore complex (npc) family.
1.I.2	the plant plasmodesmata (ppd) family.
1.J.1	the archaeal virus-associated pyramid (a-vap) family.
1.K.1	the gp27/5 t4-baseplate (t4-bp) family.
1.K.2	the prd1 phage dna delivery (prd1-dd) family.
1.K.3	the phix174 tube-forming spike protein h (phix174-h) family.
1.K.4	the phage p22 cell envelope-penetrating needle (p22-cen) family.
1.L.1	the tunneling nanotube (tnt) family.
2.A.1	the major facilitator superfamily (mfs).
2.A.10	the 2-keto-3-deoxygluconate transporter (kdgt) family.
2.A.100	the ferroportin (fpn) family.
2.A.101	the malonate uptake (matc) family (formerly uit1).
2.A.102	the putative 4-toluene sulfonate uptake permease (tsup) family.
2.A.103	the bacterial murein precursor exporter (mpe) family.
2.A.104	the l-alanine exporter (alae) family.
2.A.105	the mitochondrial pyruvate carrier (mpc) family.
2.A.106	the ca(2+):h(+) antiporter-2 (caca2) family.
2.A.107	the mntp mn2+ exporter (mntp) family.
2.A.108	the iron/lead transporter (ilt) family.
2.A.109	the tellurium ion resistance (terc) family.
2.A.11	the citrate-mg(2+):h(+) (citm) citrate-ca(2+):h(+) (cith) symporter (citmhs) family.
2.A.110	the heme transporter, heme-responsive gene protein (hrg) family.
2.A.111	the na(+)/h(+) antiporter-e (nhae) family.
2.A.112	the kx blood-group antigen (kxa) family.
2.A.113	the nickel/cobalt transporter (nico) family.
2.A.114	the putative peptide transporter carbon starvation csta (csta) family.
2.A.115	the novobiocin exporter (nbce) family.
2.A.116	the peptidoglycolipid addressing protein (gap) family.
2.A.117	the chlorhexadine exporter (chx) family.
2.A.118	the basic amino acid antiporter (arcd) family.
2.A.119	the organo-arsenical exporter (arsp) family.
2.A.12	the atp:adp antiporter (aaa) family.
2.A.120	the putative amino acid permease (paap) family.
2.A.13	the c4-dicarboxylate uptake (dcu) family.
2.A.14	the lactate permease (lctp) family.
2.A.15	the betaine/carnitine/choline transporter (bcct) family.
2.A.16	the telurite-resistance/dicarboxylate transporter (tdt) family.
2.A.17	the proton-dependent oligopeptide transporter (pot) family.
2.A.18	the amino acid/auxin permease (aaap) family.
2.A.19	the ca(2+):cation antiporter (caca) family.
2.A.2	the glycoside-pentoside-hexuronide (gph):cation symporter family.
2.A.20	the inorganic phosphate transporter (pit) family.
2.A.21	the solute:sodium symporter (sss) family.
2.A.22	the neurotransmitter:sodium symporter (nss) family.
2.A.23	the dicarboxylate/amino acid:cation (na(+) or h(+)) symporter (daacs) family.
2.A.24	the 2-hydroxycarboxylate transporter (2-hct) family.
2.A.25	the alanine or glycine:cation symporter (agcs) family.
2.A.26	the branched chain amino acid:cation symporter (livcs) family.
2.A.27	the glutamate:na(+) symporter (ess) family.
2.A.28	the bile acid:na(+) symporter (bass) family.
2.A.29	the mitochondrial carrier (mc) family.
2.A.3	the amino acid-polyamine-organocation (apc) family.
2.A.30	the cation-chloride cotransporter (ccc) family.
2.A.31	the anion exchanger (ae) family.
2.A.32	the silicon transporter (sit) family.
2.A.33	the nhaa na(+):h(+) antiporter (nhaa) family.
2.A.34	the nhab na(+):h(+) antiporter (nhab) family.
2.A.35	the nhac na(+):h(+) antiporter (nhac) family.
2.A.36	the monovalent cation:proton antiporter-1 (cpa1) family.
2.A.37	the monovalent cation:proton antiporter-2 (cpa2) family.
2.A.38	the k(+) transporter (trk) family.
2.A.39	the nucleobase:cation symporter-1 (ncs1) family.
2.A.4	the cation diffusion facilitator (cdf) family.
2.A.40	the nucleobase:cation symporter-2 (ncs2) family.
2.A.41	the concentrative nucleoside transporter (cnt) family.
2.A.42	the hydroxy/aromatic amino acid permease (haaap) family.
2.A.43	the lysosomal cystine transporter (lct) family.
2.A.45	the arsenite-antimonite (arsb) efflux family.
2.A.46	the benzoate:h+ symporter (bene) family.
2.A.47	the divalent anion:na(+) symporter (dass) family.
2.A.48	the reduced folate carrier (rfc) family.
2.A.49	the chloride carrier/channel (clc) family.
2.A.5	the zinc (zn(2+))-iron (fe(2+)) permease (zip) family.
